annee_scolaire,diplome,libelle_diplome,code_niveau,type_diplome,code_groupe_specialite,libelle_specialite,libelle_specialite_com,id_og,libelle_og,id_etab,nom_complet_cfa,numero_section,duree_formation_mois,annee_formation,id_siteformation,code_uai_site,libelle_lien_cfa,nom_site_formation,adresse1_site,adresse2_site,adresse3_site,code_commune_site_insee,code_postal_site,libelle_ville_site,num_section,age_jeune_decembre,handicap_oui_non_vide,code_sexe,sexe,code_qualite,libelle_qualite,code_nationalite,libelle_nationalite,code_pcs,libelle_pcs_parent,code_statut_jeune,libelle_statut_jeune,code_origine_prec_cfa,libelle_origine_prec_cfa,code_origine_annee_prec,libelle_origine_annee_prec,code_depart_jeune_insee,code_commune_jeune_insee,code_postal_jeune,libelle_ville_jeune,code_naf_entreprise,depart_entreprise,code_insee_entreprise,code_uai_etab_annee_prec
9/10/2024,32031307,Assurance (BTS),3,BTS,313,"Finances, banque, assurances","Finances, banque, assurances, immobilier",16,Institut de Formation de la Profession de l'assurance,17,CFA de l'Assurance,1,24,1,537,0922650F,Local du CFA,CFA de l'Assurance,20 bis Jardin Boieldieu,,,92062,92071,PARIS-LA-DEFENSE,1,20,,F,Féminin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,45,TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée),45,TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée),78,78586,78500,SARTROUVILLE,7490B,92,92063,993
9/10/2024,50023319,Peintre-applicateur de revêtement (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,18,Chambre d'Apprentissage de la Peinture,19,GPPF formation-Université Européenne des métiers de la Finition,14,24,2,47,0942288B,Local du CFA,CFA GPPF formation,6 Chemin des Mèches,,,94028,94000,CRETEIL,14,18,,M,Masculin,E,Externe,1,France,55,Employé de commerce,A,Contrat d'apprentissage,75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),93,93029,93700,DRANCY,4334Z,94,94078,77
9/10/2024,40031202,Commerce (BAC PRO),4,BAC PRO,312,"Commerce, vente","Commerce, vente",92,Chambre de Métiers et de l'Artisanat de la Seine St Denis,130,CFA Campus des Métiers et de l'Entreprise,51,24,2,2112,0931618D,Local du CFA,CFA Campus des Métiers et de l'Entreprise,91-129 rue Edouard Renard,,,93008,93013,BOBIGNY,51,20,N,F,Féminin,D,Demi-pensionnaire,1,France,55,Employé de commerce,X,Contrat en cours d'enregistrement par la DDTE (ou autres services d'enregistrement),81,2EME ANNEE BEP (STATUT APPRENTISSAGE),81,2EME ANNEE BEP (STATUT APPRENTISSAGE),93,93053,93130,NOISY-LE-SEC,,,,0931618D
9/10/2024,32032408,Assistant de manager (BTS),3,BTS,324,"Secrétariat, bureautique","Secrétariat, bureautique",22,Association pour la Formation et l'Apprentissage du Sud Ouest Parisien,23,"CFA commerce, gestion, bureautique (Isifa)",8,24,2,346,0922377J,Annexe du CFA,Institut Supérieur Interprofressionnel de Formation en Alternance,3 rue Vaudétard,,,92040,92130,ISSY-LES-MOULINEAUX,8,19,N,F,Féminin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,999,INCONNUE,999,INCONNUE,92,92050,92000,NANTERRE,7022Z,92,92040,92
9/10/2024,50033610,Coiffure (CAP),5,CAP,336,"Coiffure, esthétique, et autres spécialités des services aux personnes","Coiffure, esthétique",39,Association de Formation Coiffure,41,CFA Soins Personnels Coiffure - Ambroise-Croisat,12,12,1,638,0750739W,Local du CFA,CFA de la Coiffure Ambroise Croisat,27 boulevard Ney,,,75118,75018,PARIS,12,19,,F,Féminin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,39,TERMINALE DE BEP OU 2EME ANNEE CAP EN 2 ANS (en lycée),39,TERMINALE DE BEP OU 2EME ANNEE CAP EN 2 ANS (en lycée),75,75117,75017,PARIS,9602A,75,75117,0772040Z
9/10/2024,13531102,"Economie : entreprises, stratégies, ressources humaines spé transports internationaux (MASTER Paris 1)",1,MASTER PRO,311,"Transport, manutention, magasinage","Transport, logistique",141,FORMASUP PARIS,257,CFA FORMASUP Paris,53,24,1,1275,0751717J,UFA (L6232-8),Université Paris I - Panthéon Sorbone,12 place du Panthéon,,,75105,75005,PARIS,53,23,,M,Masculin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,69,AUTRE SCOLARITE SUPERIEURE,69,AUTRE SCOLARITE SUPERIEURE,75,75116,75016,PARIS,2910Z,78,78498,0754927Y
9/10/2024,50022132,Boulanger (CAP),5,CAP,221,"Agro-alimentaire, alimentation, cuisine","Agro-alimentaire, alimentation, cuisine",43,Chambre des Métiers et de l'Artisanat Nord Seine et Marne,45,CFA Chambre de Métiers et Artisanat du Nord de la Seine-et-Marne,19,24,1,935,0770998S,Local du CFA,CFA de la Chambre de Métiers de Meaux,Avenue des Sablons Bouillants,,,77284,77100,MEAUX,19,16,N,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,15,4EME GENERALE (en collège),13,CPA OU CLIPA DE CFA,77,77284,77100,MEAUX,1071C,60,60176,0770998S
9/10/2024,50023317,Installateur sanitaire (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,213,"Assoc. pour la Formation &le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes(Rueil Malmaison)",63,CFA du Bâtiment et des Travaux Publics - Rueil Malmaison,25,24,2,15,0921379Z,Local du CFA,CFA du Bâtiment et des Travaux Publics,35 rue Marquis de Coriolis,,,92063,92500,RUEIL-MALMAISON,25,18,,M,Masculin,D,Demi-pensionnaire,1,France,54,Employé administratif d'entreprise,A,Contrat d'apprentissage,39,TERMINALE DE BEP OU 2EME ANNEE CAP EN 2 ANS (en lycée),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),92,92004,92600,ASNIERES-SUR-SEINE,4322A,92,92004,0921379Z
9/10/2024,50022124,"Pâtissier, glacier, chocolatier, confiseur (CAP)",5,CAP,221,"Agro-alimentaire, alimentation, cuisine","Agro-alimentaire, alimentation, cuisine",26,"Centre National de Formation, de Perfectionnement et de Promotion Sociale de la Charcuterie - CEPROC",28,CFA des Métiers de la Gastronomie,23,12,1,61,0750768C,Local du CFA,CEPROC,19 rue Goubet,,,75119,75019,PARIS,23,21,,M,Masculin,D,Demi-pensionnaire,1,France,52,Employé civil - agent service fonction publique,A,Contrat d'apprentissage,75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),13,13113,13770,VENELLES,5610A,75,75117,13
9/10/2024,50321403,Travaux paysagers (CAPA),5,CAPA,214,"Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)","Agriculture, espaces verts, élevage et soins des animaux",42,EPLEFPA de la Bretonnière,44,CFA de l' EPLEFPA Agricole,10,24,2,484,0771817G,Local du CFA,CFA de l' EPLEFPA La Bretonnière,La Bretonnière,,,77070,77120,CHAILLY-EN-BRIE,10,17,O,F,Féminin,I,Interne,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,23,3EME GENERALE (en collège),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),77,77449,77700,SERRIS,8130Z,77,77053,0771817G
