annee_scolaire,diplome,libelle_diplome,code_niveau,type_diplome,code_groupe_specialite,libelle_specialite,libelle_specialite_com,id_og,libelle_og,id_etab,nom_complet_cfa,numero_section,duree_formation_mois,annee_formation,id_siteformation,code_uai_site,libelle_lien_cfa,nom_site_formation,adresse1_site,adresse2_site,adresse3_site,code_commune_site_insee,code_postal_site,libelle_ville_site,num_section,age_jeune_decembre,handicap_oui_non_vide,code_sexe,sexe,code_qualite,libelle_qualite,code_nationalite,libelle_nationalite,code_pcs,libelle_pcs_parent,code_statut_jeune,libelle_statut_jeune,code_origine_prec_cfa,libelle_origine_prec_cfa,code_origine_annee_prec,libelle_origine_annee_prec,code_depart_jeune_insee,code_commune_jeune_insee,code_postal_jeune,libelle_ville_jeune,code_naf_entreprise,depart_entreprise,code_insee_entreprise,code_uai_etab_annee_prec,ref_og,ref_etab,ref_formation,ref_diplome,ref_entreprise,ref_jeune
9/10/2024,32031307,Assurance (BTS),3,BTS,313,"Finances, banque, assurances","Finances, banque, assurances, immobilier",16,Institut de Formation de la Profession de l'assurance,17,CFA de l'Assurance,1,24,1,537,0922650F,Local du CFA,CFA de l'Assurance,20 bis Jardin Boieldieu,,,92062,92071,PARIS-LA-DEFENSE,1,20,,F,Féminin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,45,TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée),45,TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée),78,78586,78500,SARTROUVILLE,7490B,92.0,92063.0,993,b48e08a3-09b1-47b4-9ab8-018e79f85675,171ac06f-baf4-48db-b76a-282a1aa54d9c,ffcf89f6-96ce-41be-93ed-595e2d2daf14,d56d14bb-bd33-429e-b277-bc6070598e25,d5567e13-ccdf-447e-8556-5a35fc1edcd0,40ead56b-fdba-4bb6-8e0f-4f35f3da8eb6
9/10/2024,50023319,Peintre-applicateur de revêtement (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,18,Chambre d'Apprentissage de la Peinture,19,GPPF formation-Université Européenne des métiers de la Finition,14,24,2,47,0942288B,Local du CFA,CFA GPPF formation,6 Chemin des Mèches,,,94028,94000,CRETEIL,14,18,,M,Masculin,E,Externe,1,France,55,Employé de commerce,A,Contrat d'apprentissage,75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),93,93029,93700,DRANCY,4334Z,94.0,94078.0,77,50295500-304b-4a2f-83d0-b00653012f63,85e910ac-a434-4415-8ad0-4ce33ec7a8a2,9a96da6b-37d4-446a-a2b2-a450b2a0ee76,ec7c4f26-6aba-41c8-9042-2986668e78bc,5a7b15be-ba83-4e32-a963-4b8c16b0d61a,e0fafb60-de0e-4925-97e7-372ea5cd4e1d
9/10/2024,40031202,Commerce (BAC PRO),4,BAC PRO,312,"Commerce, vente","Commerce, vente",92,Chambre de Métiers et de l'Artisanat de la Seine St Denis,130,CFA Campus des Métiers et de l'Entreprise,51,24,2,2112,0931618D,Local du CFA,CFA Campus des Métiers et de l'Entreprise,91-129 rue Edouard Renard,,,93008,93013,BOBIGNY,51,20,N,F,Féminin,D,Demi-pensionnaire,1,France,55,Employé de commerce,X,Contrat en cours d'enregistrement par la DDTE (ou autres services d'enregistrement),81,2EME ANNEE BEP (STATUT APPRENTISSAGE),81,2EME ANNEE BEP (STATUT APPRENTISSAGE),93,93053,93130,NOISY-LE-SEC,,,,0931618D,2edb6297-719a-4e86-9eb8-647e6d682294,50148805-4853-4fba-96b8-6107854f2e84,9ce90f20-0b7d-4aa5-a19f-5a9d7da05c9c,9a6072e7-2a3c-4bf5-b1be-35eed4f95f2d,1775b890-a655-4973-8d97-21a61ff08a20,2d66e8bf-cafc-413d-84bd-5023979b84da
9/10/2024,32032408,Assistant de manager (BTS),3,BTS,324,"Secrétariat, bureautique","Secrétariat, bureautique",22,Association pour la Formation et l'Apprentissage du Sud Ouest Parisien,23,"CFA commerce, gestion, bureautique (Isifa)",8,24,2,346,0922377J,Annexe du CFA,Institut Supérieur Interprofressionnel de Formation en Alternance,3 rue Vaudétard,,,92040,92130,ISSY-LES-MOULINEAUX,8,19,N,F,Féminin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,999,INCONNUE,999,INCONNUE,92,92050,92000,NANTERRE,7022Z,92.0,92040.0,92,e78e1b9d-1b7a-4bd6-8e71-24068013a260,30cfe0f9-4c83-4dee-b9a6-006b315849df,f0ea4b6c-9180-4f10-88b2-7fd8c54f1cc2,e1aa0aca-ef18-455c-9caf-d27ad90cf4ab,dc8f3845-ea0e-49c1-95c9-482d1350109a,b4df6c1d-7e88-4d84-976c-4c4c02d84526
9/10/2024,50033610,Coiffure (CAP),5,CAP,336,"Coiffure, esthétique, et autres spécialités des services aux personnes","Coiffure, esthétique",39,Association de Formation Coiffure,41,CFA Soins Personnels Coiffure - Ambroise-Croisat,12,12,1,638,0750739W,Local du CFA,CFA de la Coiffure Ambroise Croisat,27 boulevard Ney,,,75118,75018,PARIS,12,19,,F,Féminin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,39,TERMINALE DE BEP OU 2EME ANNEE CAP EN 2 ANS (en lycée),39,TERMINALE DE BEP OU 2EME ANNEE CAP EN 2 ANS (en lycée),75,75117,75017,PARIS,9602A,75.0,75117.0,0772040Z,40f0a615-9f37-48a3-a48a-d706e2ef90a4,f84deaa4-1c89-4b05-8c4c-340cf636d7ff,baf344b2-16d6-43e5-a465-6380626e7780,f67c3ccc-d983-4eca-bb8f-5c838f669765,6b398f60-a015-4645-b228-307461c434d9,98889232-c3d7-4e08-8d45-324fc9b296ab
9/10/2024,13531102,"Economie : entreprises, stratégies, ressources humaines spé transports internationaux (MASTER Paris 1)",1,MASTER PRO,311,"Transport, manutention, magasinage","Transport, logistique",141,FORMASUP PARIS,257,CFA FORMASUP Paris,53,24,1,1275,0751717J,UFA (L6232-8),Université Paris I - Panthéon Sorbone,12 place du Panthéon,,,75105,75005,PARIS,53,23,,M,Masculin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,69,AUTRE SCOLARITE SUPERIEURE,69,AUTRE SCOLARITE SUPERIEURE,75,75116,75016,PARIS,2910Z,78.0,78498.0,0754927Y,a5c9f4c7-69f7-4d58-9530-90dba1bd7654,8930dca7-2756-48c6-b27c-4000b2d41d28,e92fd19c-14fd-4fcf-ac25-50f81b902283,15a3f107-ba4b-4201-8d00-fc7319a3c9e7,8b5e7fb9-3401-4e1a-a360-faa18f686a2e,c08cff65-56dd-40d8-8152-b85c074b5d6a
9/10/2024,50022132,Boulanger (CAP),5,CAP,221,"Agro-alimentaire, alimentation, cuisine","Agro-alimentaire, alimentation, cuisine",43,Chambre des Métiers et de l'Artisanat Nord Seine et Marne,45,CFA Chambre de Métiers et Artisanat du Nord de la Seine-et-Marne,19,24,1,935,0770998S,Local du CFA,CFA de la Chambre de Métiers de Meaux,Avenue des Sablons Bouillants,,,77284,77100,MEAUX,19,16,N,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,15,4EME GENERALE (en collège),13,CPA OU CLIPA DE CFA,77,77284,77100,MEAUX,1071C,60.0,60176.0,0770998S,47a4ed0a-f024-4bfc-a087-3a564b5ad4bc,fb14395b-5775-458e-bbb9-af04756bf359,460df0ac-6b90-44bf-977c-45e5ebf3e670,d0f02d00-a593-4e98-a053-fea5e1473de6,9ca6a406-3535-4656-8aab-7f7f4c40bf53,29cbe4ea-1ed1-4ece-b801-01f0f244466a
9/10/2024,50023317,Installateur sanitaire (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,213,"Assoc. pour la Formation &le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes(Rueil Malmaison)",63,CFA du Bâtiment et des Travaux Publics - Rueil Malmaison,25,24,2,15,0921379Z,Local du CFA,CFA du Bâtiment et des Travaux Publics,35 rue Marquis de Coriolis,,,92063,92500,RUEIL-MALMAISON,25,18,,M,Masculin,D,Demi-pensionnaire,1,France,54,Employé administratif d'entreprise,A,Contrat d'apprentissage,39,TERMINALE DE BEP OU 2EME ANNEE CAP EN 2 ANS (en lycée),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),92,92004,92600,ASNIERES-SUR-SEINE,4322A,92.0,92004.0,0921379Z,76e53909-9dfe-433d-a70b-8219d2509c19,a653e076-2e05-405d-9648-602bda5cb633,a8a0d547-897d-4e5a-895b-224709053640,f0fbf32f-7213-4a2d-81ed-6a614befaedc,ec9c7437-9a80-48b3-8240-36eff03d1a44,8c1cc186-4584-42d3-bf94-e39c35c85c11
9/10/2024,50022124,"Pâtissier, glacier, chocolatier, confiseur (CAP)",5,CAP,221,"Agro-alimentaire, alimentation, cuisine","Agro-alimentaire, alimentation, cuisine",26,"Centre National de Formation, de Perfectionnement et de Promotion Sociale de la Charcuterie - CEPROC",28,CFA des Métiers de la Gastronomie,23,12,1,61,0750768C,Local du CFA,CEPROC,19 rue Goubet,,,75119,75019,PARIS,23,21,,M,Masculin,D,Demi-pensionnaire,1,France,52,Employé civil - agent service fonction publique,A,Contrat d'apprentissage,75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),13,13113,13770,VENELLES,5610A,75.0,75117.0,13,fefe41da-3ff4-49f2-a142-d1fd2d03487e,f0b19653-b60a-4ca4-bcf2-57a5a1590f0f,fd1d817d-9304-471e-a7c1-9e3717346432,c478b387-d1d1-4488-87a9-d3a2cbc07e67,51bebbfc-5684-4cb1-a548-6142fc99e9ea,2a5909e5-c9eb-458b-afe5-00fff200cfaf
9/10/2024,50321403,Travaux paysagers (CAPA),5,CAPA,214,"Aménagement paysager (parcs, jardins, espaces verts, terrains de sport)","Agriculture, espaces verts, élevage et soins des animaux",42,EPLEFPA de la Bretonnière,44,CFA de l' EPLEFPA Agricole,10,24,2,484,0771817G,Local du CFA,CFA de l' EPLEFPA La Bretonnière,La Bretonnière,,,77070,77120,CHAILLY-EN-BRIE,10,17,O,F,Féminin,I,Interne,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,23,3EME GENERALE (en collège),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),77,77449,77700,SERRIS,8130Z,77.0,77053.0,0771817G,f09e1e77-1351-45a3-afe5-d624acd73d07,5fd7bf20-aa68-487a-b77b-edaa93450691,7d833580-1fde-4ca2-ae34-723e9b37653e,11185f6c-fc50-424e-948e-69e7e0c6ee9e,08f7c44a-7dbd-4d89-ae4b-dc1d2961a6db,b2c3b5dd-ed43-4238-9136-7dfaa72d2d26
